komentar,Prob_Asli,Label_Pred
"mantap, walaupun bagian depannya sedikit tidak rapi ya overall bagus",0.38332582712173463,Palsu
berkulitas hampir mirip dengan yang asli. desain nya agk kurang rapi lem nya masi luber keluar tapi dengan harga segitu udh wow banget sepatu nya juga tidak kaku melain kan fleksibel midsol bawah super empuk jadi jangan ragu untu beli di toko ini,0.7879849553108216,Asli
harga segitu jangan berharap lebih karena kw y kw.kalau pingin bagus y nabung dulu beli yg ori atau brand lokal saja yg hemat.,0.17123667240142823,Palsu
"barang ok, sesuai deskripsi, ukuran pas, saya kasi bintang 5, semoga awet",0.7577011942863464,Asli
"pelayanan ramah,sesuai warna dan bahan tebal 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",0.7011470556259155,Asli
"worth it sesuai harga yaa. solnya empuk. buat yg kakinya lebar, saran order ukuran +1",0.356757915019989,Palsu
"recomend,keren👍🏻,mantul. rencanannya buat kado trkhir beli untuk sendiri juga.",0.3281242847442627,Palsu
"Alhamdulillah, sepatu nya sudah mendarat dengan selamat. semoga awet dan bisa menunjang aktivitas sehari-hari.",0.025518273934721947,Palsu
"kualitas bahan dan model gak kaleng2, ukuran sy naikan 1 dari 43 ke 44 pas banget, harusnya 45 sih biar agak longgar dikit, trims seller, pertahankan kualitas barang dan pelayanan",0.5522667169570923,Asli
"barang sesuai pesanan tak ada cacat cuma agak sedikit bau lem aibon, so far sih so good",0.7020206570625305,Asli
"pengiriman cepat, sampai dengan selamat, sesuai pesanan, dan dapat bonus, minus gapake bubble wrap bau lem nyengat, lemnya kurang rapih, tpi dengan harga segini sudah sangat bagus",0.8643256306648255,Asli
"Sesuai ekspektasi, cukuplah dengan harga segini. Bagi saya ini kali pertama iseng beli sepatu KW karena panasaran saja, overal lumayan buat harian. Jangan di siksa kalau pengen awet hehe. Overall saya puas dengan harganya dapat sepatu dgn bahan luamyan begini (dapat bonus lagi) . Besok² mau saya pakai dan sandingkan dengan sepatu HOKA original nya milik teman pas nongkrong, biar melongo wkwkw. Terimakasih semoga awet ya, seller responsif dan komunikatif.",0.105,Palsu
"untuk ukuran pas sekali maunya 1 nomor lagi 44 kian ku pilih. Tapi ya 43 udah pas ukuran kaki saya. pertama x di buka terasa bnget aroma lem aibonnya, bau lem pun gpp lah tpi yg penting kuat dan mudah2an tahan lama. untuk barang yang saya Terima tidak ada yang cacad. Untuk sepatunya saya pakai di kaki saya lumayan nyaman. Untuk bahan juga lumayan lah. warna sesuai dengan picture. sepatu saya biasanya tahan max 5 tahun baru ada masalah, ya mudah2an saya harap sepatu ini bisa tahan 2 atw 3 tahun.",0.7840758919715881,Asli
